sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis
VCFC_213,,25/09/2024,268,48.1942056,16.356745,0,0,0,0,0,0,2,1,0,0,0,0,0
VCFC_214,VCF24A149,23/09/2024,266,48.165943,16.324441,0,0,0,0,0,0,1,2,0,0,0,0,0
VCFC_215,VCF24A133,28/09/2024,271,48.2450494,16.3722084,7,0,0,0,0,0,2,0,0,0,0,0,0
VCFC_216,VCF24A022,29/09/2024,272,48.211826,16.392461,0,0,0,0,0,1,16,5,0,0,0,0,0
VCFC_217,VCF24A010,30/09/2024,273,48.1525687,16.3701174,0,4,2,0,0,0,0,0,0,0,0,0,0
VCFC_218,VCF24A010,30/09/2024,273,48.1525687,16.3701174,5,5,0,0,0,0,3,0,0,0,0,0,0
VCFC_219,VCF24A019,30/09/2024,273,48.2072188,16.37597441,4,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_220,VCF24A149,01/10/2024,274,48.165943,16.324441,0,0,0,0,0,0,0,5,0,0,0,0,0
VCFC_221,VCF24A003,05/09/2024,248,48.24752,16.439,0,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_222,VCF24A004,29/09/2024,272,48.226806,16.1649319,11,0,0,0,0,0,11,3,0,0,0,0,0
VCFC_223,VCF24A014,02/10/2024,275,48.252675,16.338313,6,0,0,0,0,0,14,1,0,0,0,0,0
VCFC_224,VCF24A129,02/10/2024,275,48.2217373,16.3723924,8,0,0,0,0,1,18,14,2,0,0,0,0
VCFC_225,VCF24A001,04/10/2024,277,48.2909924,16.3305821,71,3,0,0,0,0,21,0,0,0,0,0,0
VCFC_226,VCF24A055,06/10/2024,279,48.26137,16.384091,33,0,1,0,0,4,3,5,1,0,0,0,0
VCFC_227,VCF24A054,06/10/2024,279,48.238611,16.38297,28,0,0,0,0,5,24,49,0,0,0,0,0
VCFC_228,VCF24A131,04/10/2024,277,48.210122,16.412825,0,0,0,0,0,2,4,10,0,0,0,0,0
VCFC_229,VCF24A160,07/10/2024,280,48.3427,16.40195,19,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_230,VCF24A067,08/10/2024,281,48.296142,16.564001,0,0,0,0,0,0,16,7,0,0,0,0,0
VCFC_231,VCF24A009,09/10/2024,282,48.4338949,16.47867439,40,8,0,0,0,1,21,0,0,0,0,0,0
VCFC_232,VCF24A009,09/10/2024,282,48.4338949,16.47867439,23,8,0,0,0,0,16,0,0,0,0,0,0
VCFC_233,VCF24A159,11/10/2024,284,48.23098,16.46349,6,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_234,VCF24A157,10/10/2024,283,48.17803,16.27124,0,0,0,0,0,0,3,14,0,0,0,0,0
VCFC_235,VCF24M010,12/10/2024,285,48.26103,16.338216,2,10,0,0,0,1,0,0,0,0,0,0,0
VCFC_236,VCF24M010,12/10/2024,285,48.26103,16.338216,86,18,0,0,0,0,0,0,0,0,0,0,0
VCFC_237,VCF24M011,12/10/2024,285,48.254046,16.31076,69,30,0,0,0,0,0,0,0,0,0,4,0
VCFC_238,VCF24A163,13/10/2024,286,48.2938722,16.3245931,6,0,0,0,0,0,6,0,0,0,0,0,0
VCFC_239,VCF24A084,13/10/2024,286,48.29387095,16.29527035,121,4,0,0,0,1,6,1,0,0,0,0,0
VCFC_240,VCF24A004,13/10/2024,286,48.226806,16.1649319,8,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_241,VCF24A019,12/10/2024,285,48.2072188,16.37597441,0,0,0,0,0,0,1,0,1,0,0,0,0
VCFC_242,VCF24A091,13/10/2024,286,48.187254,16.349366,0,0,0,0,0,0,26,5,0,0,0,0,0
VCFC_243,VCF24A142,13/10/2024,286,48.251925,16.320591,2,0,0,0,0,0,10,1,0,0,0,0,0
VCFC_244,VCF24A149,13/10/2024,286,48.165943,16.324441,0,0,0,0,0,0,2,1,0,0,0,0,0
VCFC_245,VCF24A006,11/10/2024,284,48.232858,16.290515,0,0,0,0,0,0,0,1,0,0,0,0,0
VCFC_246,VCF24A080,15/10/2024,288,48.222543,16.328819,7,0,0,0,0,1,2,16,0,0,0,0,0
VCFC_247,VCF24A030,15/10/2024,288,48.1882827,16.3054565,1,0,0,0,0,0,5,2,0,0,0,0,0
VCFC_248,VCF24A128,15/10/2024,288,48.207303,16.526469,6,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_249,VCF24A066,15/10/2024,288,48.2015272,16.3908343,5,15,0,0,0,0,1,0,0,0,0,0,0
VCFC_250,VCF24A162,16/10/2024,289,48.1935351,16.3693088,3,0,0,0,0,3,14,0,0,0,0,0,0
VCFC_251,VCF24A010,15/10/2024,288,48.1525687,16.3701174,16,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_252,VCF24A082,14/10/2024,287,48.3017437,15.89634159,296,0,0,0,0,1,2,0,0,0,0,0,0
VCFC_253,VCF24A128,21/10/2024,294,48.207303,16.526469,7,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_254,VCF24A005,22/10/2024,295,48.202186,16.295935,0,0,0,0,0,0,4,16,0,0,0,0,0
VCFC_255,VCF24A084,17/10/2024,290,48.29387095,16.29527035,108,4,0,0,0,0,6,0,0,0,0,0,0
VCFC_256,VCF24A157,22/10/2024,295,48.17803,16.27124,0,0,0,0,0,0,0,24,0,0,0,0,0
VCFC_257,VCF24A010,22/10/2024,295,48.1525687,16.3701174,0,1,2,0,0,0,0,0,0,0,0,0,0
VCFC_258,VCF24A010,22/10/2024,295,48.1525687,16.3701174,22,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_259,VCF24A155,22/10/2024,295,48.28229,15.71151,220,0,0,0,0,3,6,1,0,0,0,0,0
VCFC_260,VCF24A014,23/10/2024,296,48.252675,16.338313,3,0,0,0,0,0,1,0,0,0,0,0,0
VCFC_261,VCF24A149,26/10/2024,299,48.165943,16.324441,7,0,0,0,0,0,2,0,0,0,0,0,0
VCFC_262,VCF24A005,28/10/2024,301,48.202186,16.295935,0,0,0,0,0,0,5,22,0,0,0,0,0
VCFC_263,VCF24A035,27/10/2024,300,48.1564925,16.28339381,59,0,0,0,0,0,4,0,0,0,0,0,0
VCFC_264,VCF24A035,27/10/2024,300,48.1564925,16.28339381,6,10,6,0,0,0,0,0,1,0,0,0,0
VCFC_265,VCF24A010,30/10/2024,303,48.1525687,16.3701174,30,2,0,0,0,0,0,2,0,0,0,0,0
VCFC_266,VCF24A161,29/10/2024,302,48.201737,16.389169,17,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_267,VCF24A028,30/10/2024,303,48.083889,16.28351,25,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_268,VCF24A060,30/10/2024,303,48.2163425,16.3573787,21,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_269,VCF24A014,31/10/2024,304,48.252675,16.338313,26,0,0,0,0,0,2,0,0,0,0,0,0
VCFC_270,VCF24A019,02/11/2024,306,48.2072188,16.37597441,0,0,0,0,0,0,3,0,0,0,0,0,0
VCFC_271,VCF24A147,10/10/2024,283,46.6406261,13.8918321,213,5,0,0,0,0,5,0,0,0,0,0,0
VCFC_272,CoordVorhanden,04/11/2024,308,48.4713164,15.9814074,110,0,0,0,0,5,9,3,1,0,0,0,1
VCFC_273,VCF24A162,05/11/2024,309,48.1935351,16.3693088,32,0,0,0,0,0,3,2,1,0,0,0,0
VCFC_274,VCF24A133,06/11/2024,310,48.2450494,16.3722084,33,0,0,0,0,1,0,3,0,0,0,0,0
VCFC_275,VCF24A010,05/10/2024,278,48.1525687,16.3701174,11,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_276,VCF24A010,05/10/2024,278,48.1525687,16.3701174,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_278,VCF24A005,08/10/2024,281,48.202186,16.295935,0,0,0,0,0,0,0,7,0,0,0,0,0
VCFC_279,VCF24A001,11/11/2024,315,48.2909924,16.3305821,181,0,0,0,0,1,86,13,0,0,0,0,0
VCFC_280,VCF24A003,02/11/2024,306,48.24752,16.439,16,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_282,VCF24A014,07/11/2024,311,48.252675,16.338313,19,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_283,VCF24A010,14/11/2024,318,48.1525687,16.3701174,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_284,VCF24A010,14/11/2024,318,48.1525687,16.3701174,0,0,3,0,0,0,0,0,0,1,0,0,0
VCFC_285,VCF24A005,19/11/2024,323,48.202186,16.295935,0,0,0,0,0,0,5,6,0,0,0,0,0
VCFC_286,VCF24A149,20/11/2024,324,48.165943,16.324441,0,0,0,0,0,0,0,0,0,0,0,0,0
VCFC_287,VCF24A167,25/11/2024,329,48.217357,16.331486,0,0,0,0,0,0,5,0,0,0,0,0,0
VCFC_288,VCF24A084,10/11/2024,314,48.29387095,16.29527035,196,4,0,0,0,1,10,1,0,2,0,0,0
VCFC_289,VCF24A168,03/12/2024,337,48.20604711,16.3591487,0,0,0,0,0,0,0,0,0,0,0,0,74
VCFC_290,VCF24A004,31/10/2024,304,48.226806,16.1649319,0,0,0,0,0,0,0,3,0,0,0,0,0
