sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,Indoors,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA,Wien_Bezirke,looseresidential,mediumresidential,denseresidential,largeisolatedresidential,office,commercial,businesscore,lowmixeduse,industrial,leisure,health,education,indoorsports,military,sewage,energy,water,construction,greenstreets,non.greenstreets,parking,railway,transport,park,outdoorsports,cemetery,fields,vineyards,nursery,forest,meadow,water,dem_mean,imp2018,treecover2018,protected_area,Wien_water_areas_grid,Wien_buildings_area_ha,Wien_build_volume_i_grid,vineyard
VCFC_011,VCF24M008,26/06/2024,177,48.22169,16.40204,7,0,0,0,0,0,15,0,0,0,0,0,0,0,-0.125860383,0.04190596,272.71754,62.29692,101402.4,0.027014915,14.348101,22.290874,13.94833,731.0214,7288141,21.758156,78.565796,878299.9,27.18552,16.24842,1.000382621,33334.819,2,0,0,27.11832047,1.93892622,0,15.99412632,0,0,0,0,0,13.72858143,0,0,0,0,0,0,9.242770195,12.6221323,0,0,0,0,15.98666954,0,0,0,0,0,0,0,161.3630829,30.53342247,2.300953627,0,0,0.336702049,6.135243416,0
VCFC_012,VCF24A054,27/06/2024,178,48.23861,16.38297,5,0,0,0,0,0,76,0,1,0,0,0,0,1,-0.124645648,0.04982283,276.82317,63.17206,101389.9,0.097978754,15.0095933,22.748246,13.93061,754.6767,7336334,21.781008,78.83802,889579.2,27.980476,16.710142,1.047280307,34963.469,20,0,0,31.7477951,0,0,0,0,0,0,0,0,0.379187047,0,0,0,0,0,0,1.247179866,32.95957947,0,8.151838303,0,23.65260315,0,0,0,0,0,0,0,0,163.0842896,32.26728439,4.192175388,0,0,0.219378784,5.663750172,0
VCFC_013,VCF24A010,01/07/2024,182,48.15257,16.37012,79,0,0,0,0,0,0,0,2,0,0,0,1,1,-0.275855858,0.05579943,268.21295,62.34697,101343.7,0.654258025,15.6787234,23.587703,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.532722,18.115534,0.703801198,34151.7,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_014,VCF24A010,01/07/2024,182,48.15257,16.37012,21,8,5,2,1,1,0,0,23,23,2,0,0,0,-0.275855858,0.05579943,268.21295,62.34697,101343.7,0.654258025,15.6787234,23.587703,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.532722,18.115534,0.703801198,34151.7,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_015,VCF24A084,02/07/2024,183,48.29387,16.29527,1,0,0,0,0,1,2,0,0,0,0,0,0,1,-0.195064767,0.0571664,265.80514,69.26536,101327.2,1.098226764,15.772526,21.972677,12.79534,946.0264,6789198,23.187429,28.510181,932597.8,28.473719,17.253594,1.071118632,32345.414,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251.7129669,61.54191208,20.17794228,0,0,0,0.012345729,0
VCFC_016,VCF24A096,04/07/2024,185,48.17908,16.28132,0,0,0,0,0,0,29,0,0,0,0,0,0,1,-0.371491097,0.03251262,263.61149,64.45558,101257.9,1.183731558,14.9180994,22.301985,13.20471,828.6726,7187861,23.694748,27.387484,944146.1,28.029371,17.239681,1.000215661,29672.602,13,0.792443395,29.74150467,0,0,0,0,0,2.700476885,0,0,0,45.93700027,0,0,0,0,0,0,16.89622498,0,0,1.005508184,0,0,0,0,0,0,0,0,0,0,212.0500183,13.00437546,5.681830406,0,0,0.255913883,17.6799984,0
VCFC_017,VCF24A119,05/07/2024,186,48.19256,16.36392,1,0,0,0,0,1,16,0,0,0,0,0,0,1,-0.155622676,0.03609542,260.60442,57.87248,101231.9,1.649885024,14.1710191,23.332424,14.4473,768.4668,7275263,25.161579,21.281624,928057,28.77601,19.012679,0.834354059,30861.599,4,0,0,61.03398132,0,0,0,0,0,2.343758106,0,0,0,0,0,0,0,0,0,0,35.62226105,0,0,0,0,0,0,0,0,0,0,0,0,175.4210205,14.64276886,0.045765284,0,0,0.508607388,20.31564522,0
VCFC_018,VCF24A030,06/07/2024,187,48.18828,16.30546,42,0,14,0,0,0,0,0,0,0,2,0,0,0,-0.243604746,0.01349382,258.69904,62.59916,101229.8,1.495573305,14.6644979,22.56662,13.46038,811.017,7228854,24.007879,25.564056,936142.7,28.164711,17.471575,0.787077224,30579.816,14,0,0,33.15151596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.06528473,0,0,0,29.99788284,0,0,0,0,0,0,0,15.90008068,190.1920776,24.12078285,14.46646309,0,0.248877361,0.205010206,10.28607845,0
VCFC_019,VCF24A049,08/07/2024,189,48.22026,16.3846,1,0,0,0,0,0,94,0,21,0,0,0,0,1,0.112658905,0.02550961,249.96688,61.35894,101232.3,1.169622045,15.2533793,23.540943,14.24639,741.6365,7312748,25.033268,19.136593,922059.7,28.874111,19.047049,0.403502338,27979.449,2,0,0,64.83189392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.113607407,25.00322723,0,0,0,0,0,0,0,0,0,0,0,0,161.7215576,14.8563633,0,0,0,0.464629531,10.68114567,0
VCFC_020,VCF24A010,08/07/2024,189,48.15257,16.37012,31,0,0,0,0,2,4,0,9,10,0,0,0,1,0.289734361,0.05142483,249.61516,62.69204,101230.5,1.373796815,15.2243373,23.109107,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,28.327194,18.060106,0.519869457,27714.736,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_021,VCF24A054,05/07/2024,186,48.23861,16.38297,10,0,0,0,0,0,45,0,7,0,0,0,0,1,-0.313877994,0.04913851,263.55865,59.73676,101214.7,1.269752524,14.3758499,23.031196,13.93061,754.6767,7336334,24.681007,19.121374,916643.2,28.572643,18.417515,0.803282389,31525.022,20,0,0,31.7477951,0,0,0,0,0,0,0,0,0.379187047,0,0,0,0,0,0,1.247179866,32.95957947,0,8.151838303,0,23.65260315,0,0,0,0,0,0,0,0,163.0842896,32.26728439,4.192175388,0,0,0.219378784,5.663750172,0
VCFC_022,VCF24A071,08/07/2024,189,48.19489,16.28251,5,0,0,0,0,0,32,0,1,0,0,0,0,1,-0.056245857,0.01741543,247.41628,65.8588,101234.9,1.304101922,15.5809442,22.713682,13.24484,849.2347,7208020,23.741964,27.46818,941726.2,28.146641,17.404474,0.637313553,27997.547,14,0,20.91070366,12.48819447,0,0,0,0,0,0,8.302420616,0,15.59573364,0,0,0,0,0,0,0,41.62637711,0,0,0,0,0,0,0,0,0,0,0,0,206.5142975,10.35454178,0.590989649,0,0,0.353589177,24.30128288,0
VCFC_023,VCF24A005,08/07/2024,189,48.20219,16.29594,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0.047949289,0.0139641,248.55609,65.72873,101235.6,1.48236831,15.4414281,22.58852,13.20311,845.4929,7228574,23.648319,26.616096,932329.2,27.976183,17.389008,0.605619359,27739.207,14,0.320346504,0,70.62757874,0,0,0,0,0,0,0,0,0,0,1.048419476,0,0,0,0,16.14146423,9.863604546,0,0,0,0,0,0,0,0,0,0,0,0,254.4225006,12.33790779,4.370902538,0,0,0.250604093,29.80701065,0
VCFC_024,VCF24A020,08/07/2024,189,48.20975,16.31395,0,0,0,0,0,10,54,0,0,0,0,0,0,1,0.058181427,0.01011209,249.77566,64.7766,101238,1.176187954,15.3707315,22.753037,13.52549,830.499,7257774,24.064735,25.0618,927468.5,28.169053,17.93338,0.554461132,27704.441,16,0,0,63.55363464,0,0,0,0,0,4.70088625,0,0,0,0,0,0,0,0,0,29.18992233,0.602260888,0,0,0,0,0,0,0,0,0,0,0,0,222.8990479,16.94604301,4.793937683,0,0,0.377632409,33.41183472,0
VCFC_025,VCF24M009,09/07/2024,190,48.18206,16.50312,16,0,0,0,0,61,0,0,12,6,0,0,1,0,0.232589977,0.03003987,253.03253,62.48655,101240.9,0.892293385,15.6281208,23.70715,13.30013,691.801,7358534,23.941946,21.609428,965702.1,28.755128,18.177273,0.580867219,27449.237,22,0,0,0,0,0,0,0,0,68.0425415,0,0,0,0,0,0,0,0,0,0,0,0,8.963591576,0,0,0,0,0,0,0,14.78161621,0,6.485098362,156.1797791,83.47187805,19.54931068,19.97814178,0,0.047942609,0.277489871,0
VCFC_025#2,VCF24M009,09/07/2024,190,48.18206,16.50312,13,9,0,0,0,0,0,0,0,0,0,0,0,0,0.232589977,0.03003987,253.03253,62.48655,101240.9,0.892293385,15.6281208,23.70715,13.30013,691.801,7358534,23.941946,21.609428,965702.1,28.755128,18.177273,0.580867219,27449.237,22,0,0,0,0,0,0,0,0,68.0425415,0,0,0,0,0,0,0,0,0,0,0,0,8.963591576,0,0,0,0,0,0,0,14.78161621,0,6.485098362,156.1797791,83.47187805,19.54931068,19.97814178,0,0.047942609,0.277489871,0
VCFC_026,VCF24A003,09/07/2024,190,48.24752,16.439,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0.220209261,0.04705433,240.98494,61.63618,101206.6,0.655928586,15.6269416,23.960749,13.7387,721.7471,7329652,24.434134,19.231766,935633.9,29.032436,18.613566,0.457902947,27310.871,22,0,0,50.82025909,1.307880998,0,0,0,2.117503405,0,0,0,0,0,0,0,0,0,0,0,27.75848961,0,0,0,16.02261734,0,0,0,0,0,0,0,0,160.5237579,13.23468494,0.75227946,0,0,0.263239712,4.706376553,0
VCFC_027,VCF24A100,09/07/2024,190,48.19308,16.31652,24,0,0,0,0,0,21,0,4,0,0,0,1,0,0.203722647,0.01088989,245.75073,63.64385,101231.8,1.512737677,15.6858206,23.417484,13.75287,809.2028,7255339,24.353441,24.850439,931264.6,28.878853,18.404029,0.558404425,26783.482,14,0,0,59.93674088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.06325912,0,0,0,0,0,0,0,0,0,0,0,0,207.2350311,15.18118572,2.152047396,0,0,0.397002786,27.24627686,0
VCFC_028,VCF24A100,09/07/2024,190,48.19308,16.31652,0,0,0,0,0,0,26,0,0,0,0,0,0,1,0.203722647,0.01088989,245.75073,63.64385,101231.8,1.512737677,15.6858206,23.417484,13.75287,809.2028,7255339,24.353441,24.850439,931264.6,28.878853,18.404029,0.558404425,26783.482,14,0,0,59.93674088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.06325912,0,0,0,0,0,0,0,0,0,0,0,0,207.2350311,15.18118572,2.152047396,0,0,0.397002786,27.24627686,0
VCFC_029,VCF24A010,11/07/2024,192,48.15257,16.37012,38,0,0,1,0,0,7,0,3,3,0,0,0,0,0.256834718,0.08157927,244.73063,62.50171,101247.5,1.763539724,15.7542971,23.782091,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.452218,18.778497,0.719429086,26970.481,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_030,VCF24A010,11/07/2024,192,48.15257,16.37012,12,0,4,0,0,0,0,0,0,0,0,0,0,0,0.256834718,0.08157927,244.73063,62.50171,101247.5,1.763539724,15.7542971,23.782091,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.452218,18.778497,0.719429086,26970.481,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_031,VCF24A005,12/07/2024,193,48.20219,16.29594,0,0,0,0,0,0,8,0,0,0,0,0,0,1,-0.009229831,0.03508616,246.79401,65.88434,101228.7,1.806866337,15.9365831,23.155013,13.20311,845.4929,7228574,23.648319,26.616096,932329.2,29.306044,18.325922,1.527910909,26752.174,14,0.320346504,0,70.62757874,0,0,0,0,0,0,0,0,0,0,1.048419476,0,0,0,0,16.14146423,9.863604546,0,0,0,0,0,0,0,0,0,0,0,0,254.4225006,12.33790779,4.370902538,0,0,0.250604093,29.80701065,0
VCFC_032,VCF24A009,11/07/2024,192,48.43389,16.47867,0,0,0,1,0,29,1,0,0,0,0,0,0,1,-0.006651354,0.1735727,249.88199,68.71374,101288,0.636934273,16.2012358,22.788277,13.09008,730.5518,7261222,23.791946,24.191683,973592.5,29.065272,18.438308,0.951206814,28277.422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCFC_033,VCF24A054,12/07/2024,193,48.23861,16.38297,6,0,0,0,0,0,29,0,3,0,0,0,0,1,-0.00164777,0.06608744,251.04578,62.38384,101220.4,1.215775329,15.866193,24.010157,13.93061,754.6767,7336334,24.681007,19.121374,916643.2,30.13789,19.49471,1.240425239,26443.074,20,0,0,31.7477951,0,0,0,0,0,0,0,0,0.379187047,0,0,0,0,0,0,1.247179866,32.95957947,0,8.151838303,0,23.65260315,0,0,0,0,0,0,0,0,163.0842896,32.26728439,4.192175388,0,0,0.219378784,5.663750172,0
VCFC_034,VCF24A124,14/07/2024,195,48.18959,16.29772,0,0,0,0,0,2,32,0,1,0,0,0,0,1,-0.329303869,0.03559138,248.80631,64.64034,101251.6,1.736224387,15.8307981,23.335069,13.35515,821.1126,7217871,23.880129,26.186319,936335.5,29.265,18.577029,1.463452841,26012.467,14,0,5.974003315,68.26132202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.90435791,0,0,0,0,0,0,0,0,0,0,0,0,195.4610596,11.7857008,9.850684166,0,0,0.368786931,20.14932823,0
VCFC_035,VCF24A055,11/07/2024,192,48.26137,16.38409,84,0,0,0,0,0,12,0,0,0,0,0,0,1,0.035165479,0.05685862,247.47278,63.15397,101244,0.969520264,16.0277428,23.973358,13.79656,777.5774,7344424,24.504843,19.755074,921105.2,29.763246,19.228963,0.558531884,26803.842,21,20.76572609,0,54.65496445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.34649467,0,0,0,0,0,0,0,0,0,0,0,0,162.6897736,26.15450478,0.498000413,0,0,0.295808822,3.598111153,0
VCFC_036,VCF24A095,14/07/2024,195,48.19511,16.28763,65,0,0,0,0,3,47,0,20,0,0,0,0,1,-0.303791094,0.03662454,247.80961,65.51349,101252.1,1.903141811,15.8695927,23.158438,13.27822,842.5419,7218273,23.779573,27.078672,939379.4,29.207216,18.456299,1.499590393,26174.169,14,0,0,80.35501862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64497757,0,0,0,0,0,0,0,0,0,0,0,0,208.2003784,13.00539494,4.152067184,0,0,0.399462253,28.74031448,0
VCFC_037,VCF24A010,15/07/2024,196,48.15257,16.37012,28,0,0,0,0,7,3,0,3,0,0,0,1,0,-0.483258665,0.06073372,255.9952,61.92091,101249.9,1.838233884,15.7448342,23.93543,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.293068,18.814376,1.200407806,27366.007,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_038,VCF24A010,15/07/2024,196,48.15257,16.37012,8,11,4,0,0,0,0,0,0,1,0,0,0,0,-0.483258665,0.06073372,255.9952,61.92091,101249.9,1.838233884,15.7448342,23.93543,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,29.293068,18.814376,1.200407806,27366.007,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_039,VCF24A016,15/07/2024,196,48.29799,16.41942,59,0,0,0,0,0,5,0,0,0,0,0,0,1,-0.153800255,0.03802189,258.69098,64.39153,101247.5,1.01012493,16.0975679,23.783574,13.57992,759.5504,7415578,24.260086,19.745504,947695.7,29.439433,18.938018,1.184092441,27501.288,21,0,61.23002243,0.291163146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.03321457,0,2.192769527,0,0,0,0,0,0,0,0,0,0,164.4155884,12.54058933,0.34497124,0,0,0.284007132,3.694962263,0
VCFC_040,VCF24A133,15/07/2024,196,48.24505,16.37221,22,0,0,0,0,1,14,0,0,0,0,0,0,1,-0.418824522,0.04649923,264.49186,61.78318,101250.4,1.147889781,15.8700598,24.158549,13.85212,777.1276,7352119,24.556522,19.762102,912168,29.573019,19.231573,1.185612629,26238.75,20,2.422828913,0,80.31477356,0.022030488,0,2.029088259,0,0,0,3.091973782,0,0,0,0,0,0.05874797,0,0,0,2.050228357,0.76932174,5.325104713,0,0.57699126,0,0,0,0,0,1.15398252,0,0,163.039917,25.09574318,1.063587308,0,0,0.417910576,9.208825111,0
VCFC_041,VCF24A014,17/07/2024,198,48.25268,16.33831,0,0,0,0,0,1,8,0,0,0,0,0,0,1,-0.353726061,0.04029113,275.2808,63.28239,101389,1.43988631,16.28821,24.20222,13.25449,864.317,7240516,23.754753,23.190252,913987.4,29.438066,18.922599,1.238746273,29016.549,19,0.403746009,85.70058441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75316811,0.118748821,0,0,0,0,0,0,0,0,0,0,0,235.1477966,12.19098186,7.022551537,0,0,0.283412486,25.27301025,0
VCFC_042,VCF24A010,17/07/2024,198,48.15257,16.37012,15,0,0,0,0,1,3,0,3,0,0,0,0,1,-0.508978339,0.06082407,265.7685,61.37603,101373.9,1.537482016,16.2816846,24.699,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,30.05025,19.263549,1.157630488,29993.742,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_043,VCF24A010,17/07/2024,198,48.15257,16.37012,11,0,2,0,0,0,0,0,2,1,0,0,0,0,-0.508978339,0.06082407,265.7685,61.37603,101373.9,1.537482016,16.2816846,24.699,13.52043,729.4509,7325177,24.1639,21.836052,946533.1,30.05025,19.263549,1.157630488,29993.742,10,4.298567772,68.91764069,0,0,0,0,0,0,0,0,0,5.760863781,0,0,0,0,0,0,0,18.42626381,0,0,0,0,0,0,0,0,0,0.902174771,0.225543693,0,198.6404266,14.67976284,6.069236279,1.353262186,0,0.16721645,8.033716202,0
VCFC_044,VCF24A003,22/07/2024,203,48.24752,16.439,3,0,0,0,0,2,18,0,0,0,0,0,0,1,-0.499254256,0.0388219,258.04102,59.01737,101379.9,0.826428528,16.6816068,25.874784,13.7387,721.7471,7329652,24.434134,19.231766,935633.9,31.193346,20.341029,0.866826168,31102.754,22,0,0,50.82025909,1.307880998,0,0,0,2.117503405,0,0,0,0,0,0,0,0,0,0,0,27.75848961,0,0,0,16.02261734,0,0,0,0,0,0,0,0,160.5237579,13.23468494,0.75227946,0,0,0.263239712,4.706376553,0
VCFC_045,VCF24A031,22/07/2024,203,48.20966,16.33759,63,0,0,0,0,3,15,0,3,0,0,0,0,1,-0.811875214,0.02670826,260.77392,59.45639,101414,1.349207294,16.6177232,25.590744,14.18363,797.4373,7289141,24.836958,22.984581,916462.8,31.245431,21.174516,0.957788528,30509.827,16,0,0,85.98944092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.76086617,0,0.12484771,0,0,0,0,0,0,0,0,0,0,200.1838684,16.58341599,0,0,0,0.584341466,33.53895569,0
