sampleId,ParticipantId,collectionEnd,Days,Latitude,Longitude,melanogaster,simulans,suzukii,busckii,testacea,hydei,mercatorum,repleta,funebris,immigrans,phalerata,subobscura,virilis,INCAL_WindSpeedNorth_daily,INCAL_RainfallRate_daily,INCAL_GlobalRadiation_daily,INCAL_RelativeHumidity_daily,INCAL_AirPressure_daily,INCAL_WindSpeedEast_daily,INCAL_DewPointTemperature_daily,INCAL_Temperature2m_daily,Yearly_TM,Yearly_RR,Yearly_SA,Monthly_TM,Monthly_RR,Monthly_SA,Daily_TX,Daily_TN,Daily_RR,Daily_SA
VCFC_087,VCF24A142,2024-07-31,212,48.25192,16.32059,  0, 0, 0, 0, 0,  0,   7,  0, 0, 0, 0,0, 0,-0.762750868,9.817633e-03,261.25390,55.77255,101466.3, 1.477209055,13.8126913,23.700030,12.87590, 898.6568,7187462,23.206886, 25.219875,921449.2,29.131086,17.454185, 0.251303067,32006.071
VCFC_088,VCF24A144,2024-08-01,213,48.19662,16.39143,  0, 0, 0, 0, 0,  0, 117,  0, 0, 0, 0,0, 0,-0.989333089,1.150536e-02,247.72863,52.56812,101361.9, 1.681518791,13.7068044,24.564931,14.21066, 740.9795,7303584,25.374481, 95.578255,941476.1,30.362060,19.721487, 0.186661118,31752.139
VCFC_089,VCF24A146,2024-08-02,214,48.20210,16.34320, 25, 4, 0, 0, 0,  1,   7,  0, 1, 0, 0,0, 0,-0.777425344,1.154585e-02,245.83393,53.66887,101317.9, 1.954876748,13.7154407,24.255802,14.29870, 789.3160,7294960,25.467184, 98.284302,943103.7,30.199106,20.243821, 0.305562017,29913.678
VCFC_090,VCF24A054,2024-08-04,216,48.23861,16.38297,  1, 0, 0, 0, 0,  0,  23,  0, 0, 0, 0,0, 0,-0.919582198,2.511379e-02,248.92505,56.40404,101357.5, 1.536340734,13.8437832,23.620026,13.93061, 754.6767,7336334,25.118755,107.375252,938249.2,29.846654,18.843919, 0.339839812,30059.835
VCFC_091,VCF24A055,2024-08-03,215,48.26137,16.38409, 16, 9, 0, 0, 0,  1,   1,  0, 0, 0, 0,0, 0,-0.740019931,6.096476e-03,263.21163,55.65230,101312.3, 1.153171296,13.8285461,23.860558,13.79656, 777.5774,7344424,24.991041,111.047379,942973.8,29.933957,18.801370, 0.154570935,29251.344
VCFC_092,VCF24A150,2024-08-05,217,48.20461,16.26753,  2, 6, 0, 0, 0, 19,   1,  0, 1, 0, 0,0, 0,-0.627896030,6.156435e-02,246.93372,61.32075,101384.7, 2.124310848,14.0132207,22.521879,12.65486, 887.8865,7099444,23.496937, 84.350266,958984.9,28.613536,16.254678, 1.497514867,27388.342
VCFC_093,VCF24A124,2024-08-05,217,48.18959,16.29772,  4, 0, 0, 0, 0,  0,  46,  0, 1, 0, 0,0, 0,-0.559949167,4.116119e-02,250.35307,59.00829,101381.3, 1.624789360,13.8786911,22.956011,13.35515, 821.1126,7217871,24.386675, 82.986992,960210.1,29.073956,17.466263, 1.319892106,27651.669
VCFC_094,VCF24A084,2024-08-05,217,48.29387,16.29527, 39, 4, 0, 3, 0,  1,   5,  0, 0, 0, 0,0, 0,-0.454723690,1.866789e-02,254.01281,60.88788,101396.6, 1.695295960,13.9047523,22.387604,12.79534, 946.0264,6789198,23.718218,111.664383,931951.7,28.597384,16.908613, 1.297022767,27200.892
VCFC_095,VCF24A004,2024-08-05,217,48.22681,16.16493,  8, 0, 0, 0, 0,  0,  22,  0, 0, 0, 0,0, 0,-0.744561057,9.305729e-02,254.24533,64.65964,101410.2, 1.757306211,14.0885424,21.690686,12.19812,1046.7411,6747730,22.956123, 63.773964,942611.8,28.198643,15.725132, 1.722387226,26403.979
VCFC_096,VCF24A022,2024-08-05,217,48.21183,16.39246, 40, 0, 0, 0, 0,  0,   8,  0, 0, 0, 0,0, 0,-0.842898999,2.353656e-02,246.65686,55.38870,101378.1, 1.559333591,13.4508902,23.524502,14.27861, 738.0645,7297200,25.491510, 99.668571,938912.1,29.292101,19.419346, 0.942364285,27557.878
VCFC_097,VCF24A149,2024-08-08,220,48.16594,16.32444,  2, 0, 0, 0, 0,  0,   3,  0, 1, 0, 0,0, 0,-0.754027947,3.801102e-02,253.85228,57.93861,101363.1, 1.396073148,13.8536652,23.231342,13.52439, 780.4857,7278145,24.635929, 78.083786,958156.8,29.493579,17.188893, 1.035614565,30391.754
VCFC_098,VCF24A051,2024-08-07,219,48.23894,16.31074,  0, 2, 0, 0, 0,  0,  45,  0, 0, 0, 0,0, 0,-0.698021929,4.621631e-02,257.36195,59.09254,101352.6, 1.355533379,13.6448844,22.663554,13.04275, 884.2587,7216905,23.973738,107.589592,948670.6,28.603634,16.725789, 1.271265060,30347.533
VCFC_099,VCF24A141,2024-08-07,219,48.21570,16.38965,  2, 0, 0, 0, 0,  0,  26,  0, 1, 0, 0,0, 0,-0.639863904,2.115083e-02,254.54846,55.47046,101340.2, 1.147676228,13.4326978,23.522223,14.23001, 738.9146,7301966,25.438141,101.304283,938614.4,29.224620,18.529006, 0.919862300,30601.770
VCFC_100,VCF24A129,2024-08-08,220,48.22174,16.37239, 75, 0, 0, 0, 0,  1,  49,  0, 2, 0, 0,0, 0,-0.600759783,2.901927e-02,254.81934,55.87946,101364.1, 1.065700322,13.6042159,23.610784,14.37381, 755.4401,7364048,25.580437,104.728394,942232.2,29.664590,18.889229, 0.914308670,30137.460
VCFC_101,VCF24A133,2024-08-09,221,48.24505,16.37221,  0, 0, 2, 0, 0, 25,  12,  0, 0, 0, 0,0, 0,-0.708451126,2.930098e-02,254.76324,56.97847,101412.2, 0.985731495,13.8939249,23.577979,13.85212, 777.1276,7352119,24.964468,109.779312,937713.6,29.814065,17.814419, 0.938105470,30304.173
VCFC_102,VCF24A135,2024-08-09,221,48.25209,16.43863,  2, 0, 0, 0, 0,  0,   5,  0, 0, 0, 0,0, 0,-0.244890336,9.811659e-03,244.43937,56.25269,101389.3, 0.779699902,13.8041005,23.774399,13.73784, 723.8572,7344312,24.891417, 92.131111,949453.8,29.626620,17.457416, 0.863626695,30673.512
VCFC_103,VCF24A004,2024-08-08,220,48.22681,16.16493,  0, 0, 0, 0, 0,  0,   0,  0, 0, 0, 0,0, 0,-0.593498136,5.867811e-02,253.61091,64.44785,101394.0, 1.535369187,14.1799033,21.873524,12.19812,1046.7411,6747730,22.956123, 63.773964,942611.8,28.630821,15.147716, 1.422031843,29483.108
VCFC_104,VCF24A035,2024-08-07,219,48.15649,16.28339, 40,33, 7, 0, 0,  0,   0,  0, 0, 0, 0,0, 0,-0.455646796,4.116159e-02,255.86847,59.59802,101346.0, 1.091972455,13.8574999,22.757772,13.02802, 799.6995,7245432,23.979021, 63.338535,970926.1,28.894541,16.017670, 1.370263917,30849.736
VCFC_105,VCF24A035,2024-08-07,219,48.15649,16.28339, 36, 0, 0, 1, 0,  1,   5,  0, 0, 0, 0,0, 0,-0.455646796,4.116159e-02,255.86847,59.59802,101346.0, 1.091972455,13.8574999,22.757772,13.02802, 799.6995,7245432,23.979021, 63.338535,970926.1,28.894541,16.017670, 1.370263917,30849.736
VCFC_106,VCF24A035,2024-08-11,223,48.15649,16.28339, 25, 0, 0, 0, 0,  0,   0,  0, 0, 5, 2,0, 0,-0.671107738,4.115176e-02,251.17058,59.54832,101453.6, 1.228040945,14.3211677,23.291147,13.02802, 799.6995,7245432,23.979021, 63.338535,970926.1,29.528122,16.673957, 1.076067414,30900.949
VCFC_107,VCF24A035,2024-08-11,223,48.15649,16.28339, 86, 2, 0, 0, 0,  2,   5,  0, 0, 0, 0,0, 0,-0.671107738,4.115176e-02,251.17058,59.54832,101453.6, 1.228040945,14.3211677,23.291147,13.02802, 799.6995,7245432,23.979021, 63.338535,970926.1,29.528122,16.673957, 1.076067414,30900.949
VCFC_108,VCF24A001,2024-08-10,222,48.29099,16.33058, 42, 6, 0, 0, 0,  5,  23,  0, 0, 0, 0,0, 0,-0.525903434,1.421240e-02,253.60713,59.82734,101466.8, 1.159982615,14.1517119,23.001380,13.11834, 870.5637,6911278,24.093491,116.830872,931741.8,29.415372,17.175359, 1.148056454,29729.176
