"lat","lon","vienna_zone","n_obs","slope","intercept","r_squared","p_value"
"48.201893","16.395468","Outer_Vienna",34,0.0671504965622609,-122.425210084033,0.517482630826213,1.6368364866384e-06
"48.2026","16.368576","Inner_Vienna",34,0.066294881588999,-120.30756302521,0.511191535803449,2.0248988729518e-06
"48.20295","16.35513","Inner_Vienna",34,0.066355996944232,-120.612605042016,0.516279347305875,1.70516508355401e-06
"48.203297","16.341682","Inner_Vienna",34,0.0652559205500378,-118.615966386554,0.507061849014528,2.32510976166575e-06
"48.204334","16.301342","Outer_Vienna",34,0.0660656990068751,-121.373949579831,0.520063975433437,1.49885765591035e-06
"48.205357","16.261","Outer_Vienna",34,0.0659434682964092,-121.752100840336,0.512803560692322,1.917942919308e-06
"48.20603","16.234104","Outer_Vienna",34,0.065255920550038,-120.221848739495,0.514305196567344,1.82311911975255e-06
"48.207256","16.530474","Outer_Vienna",34,0.0663865546218485,-121.885714285714,0.535302970049985,8.82875061366014e-07
"48.210526","16.409447","Outer_Vienna",34,0.0657142857142855,-120.153781512605,0.518897094784006,1.55981460306611e-06
"48.21088","16.395998","Outer_Vienna",34,0.0666310160427804,-121.329411764705,0.524614610758559,1.28191272872351e-06
"48.211235","16.382551","Outer_Vienna",34,0.0665240641711227,-121.129411764705,0.52568413778646,1.23540567606981e-06
"48.211586","16.369102","Inner_Vienna",34,0.0660198624904504,-119.855462184873,0.509858494166245,2.1175638485932e-06
"48.211937","16.355654","Inner_Vienna",34,0.066172650878533,-120.350420168067,0.517179955016591,1.65377692965487e-06
"48.212284","16.342203","Inner_Vienna",34,0.0649197860962563,-117.95294117647,0.502884846925001,2.67108279873723e-06
"48.212635","16.328754","Outer_Vienna",34,0.065805958747135,-120.03781512605,0.50949534133876,2.14349202295389e-06
"48.21298","16.315306","Outer_Vienna",34,0.0655614973262029,-119.799999999999,0.522080077010488,1.39879287684548e-06
"48.213326","16.301857","Outer_Vienna",34,0.066233766233766,-121.631932773109,0.519127615272261,1.54759032809896e-06
"48.219868","16.39653","Outer_Vienna",34,0.0669213139801371,-122.350420168066,0.530644172661555,1.03974447740147e-06
"48.220222","16.383078","Outer_Vienna",34,0.0674560733384259,-123.06806722689,0.53058714375406,1.04181808573552e-06
"48.220573","16.369627","Inner_Vienna",34,0.0657754010695183,-119.647058823529,0.515409780536073,1.75620635594103e-06
